Unnamed: 0,SysetID,Name,.obj paths,fileid,cloudpath,status,function
16916,3001627,chair,C:\Users\Zachariah\Box\Automated Functional Basis Modeling\ShapeNetCore.v2\03001627\508306f8ddf1b54c41cc9e8c39b4e399\models\model_normalized.obj,508306f8ddf1b54c41cc9e8c39b4e399,C:\Users\Zachariah\Box\Automated Functional Basis Modeling\ShapeNetCore.v2\03001627\508306f8ddf1b54c41cc9e8c39b4e399\models\chair_3001627_508306f8ddf1b54c41cc9e8c39b4e399_5000_2pc.xyz,Cloud Generated,
20729,3001627,chair,C:\Users\Zachariah\Box\Automated Functional Basis Modeling\ShapeNetCore.v2\03001627\d619fd50c4d0fb46dea83bbf303af433\models\model_normalized.obj,d619fd50c4d0fb46dea83bbf303af433,C:\Users\Zachariah\Box\Automated Functional Basis Modeling\ShapeNetCore.v2\03001627\d619fd50c4d0fb46dea83bbf303af433\models\chair_3001627_d619fd50c4d0fb46dea83bbf303af433_5000_2pc.xyz,Cloud Generated,
63,2691156,airplane_aeroplane_plane,C:\Users\Zachariah\Box\Automated Functional Basis Modeling\ShapeNetCore.v2\02691156\136c2b868c5326dbba5db366aa3ac475\models\model_normalized.obj,136c2b868c5326dbba5db366aa3ac475,C:\Users\Zachariah\Box\Automated Functional Basis Modeling\ShapeNetCore.v2\02691156\136c2b868c5326dbba5db366aa3ac475\models\airplane_aeroplane_plane_2691156_136c2b868c5326dbba5db366aa3ac475_5000_2pc.xyz,Cloud Generated,
26955,3636649,lamp,C:\Users\Zachariah\Box\Automated Functional Basis Modeling\ShapeNetCore.v2\03636649\22ca1d5fbd8e6eac7b79156a61ad4c01\models\model_normalized.obj,22ca1d5fbd8e6eac7b79156a61ad4c01,C:\Users\Zachariah\Box\Automated Functional Basis Modeling\ShapeNetCore.v2\03636649\22ca1d5fbd8e6eac7b79156a61ad4c01\models\lamp_3636649_22ca1d5fbd8e6eac7b79156a61ad4c01_5000_2pc.xyz,Cloud Generated,
30598,3691459,loudspeaker_speaker_speaker unit_loudspeaker system_speaker system,C:\Users\Zachariah\Box\Automated Functional Basis Modeling\ShapeNetCore.v2\03691459\ab84f70571827b76dfdc04b8b8434e84\models\model_normalized.obj,ab84f70571827b76dfdc04b8b8434e84,C:\Users\Zachariah\Box\Automated Functional Basis Modeling\ShapeNetCore.v2\03691459\ab84f70571827b76dfdc04b8b8434e84\models\loudspeaker_speaker_speaker unit_loudspeaker system_speaker system_3691459_ab84f70571827b76dfdc04b8b8434e84_5000_2pc.xyz,Cloud Generated,
34260,4090263,rifle,C:\Users\Zachariah\Box\Automated Functional Basis Modeling\ShapeNetCore.v2\04090263\58f9adb6b5065dd6ad2b8e02a4932f3e\models\model_normalized.obj,58f9adb6b5065dd6ad2b8e02a4932f3e,C:\Users\Zachariah\Box\Automated Functional Basis Modeling\ShapeNetCore.v2\04090263\58f9adb6b5065dd6ad2b8e02a4932f3e\models\rifle_4090263_58f9adb6b5065dd6ad2b8e02a4932f3e_5000_2pc.xyz,Cloud Generated,
32842,3991062,pot_flowerpot,C:\Users\Zachariah\Box\Automated Functional Basis Modeling\ShapeNetCore.v2\03991062\57a71b2cad845a76fbd91d8fa434e93d\models\model_normalized.obj,57a71b2cad845a76fbd91d8fa434e93d,C:\Users\Zachariah\Box\Automated Functional Basis Modeling\ShapeNetCore.v2\03991062\57a71b2cad845a76fbd91d8fa434e93d\models\pot_flowerpot_3991062_57a71b2cad845a76fbd91d8fa434e93d_5000_2pc.xyz,Cloud Generated,
47572,4379243,table,C:\Users\Zachariah\Box\Automated Functional Basis Modeling\ShapeNetCore.v2\04379243\f5ee06263c91d7eadfe9cab879fd37e8\models\model_normalized.obj,f5ee06263c91d7eadfe9cab879fd37e8,C:\Users\Zachariah\Box\Automated Functional Basis Modeling\ShapeNetCore.v2\04379243\f5ee06263c91d7eadfe9cab879fd37e8\models\table_4379243_f5ee06263c91d7eadfe9cab879fd37e8_5000_2pc.xyz,Cloud Generated,
28785,3636649,lamp,C:\Users\Zachariah\Box\Automated Functional Basis Modeling\ShapeNetCore.v2\03636649\e120efa70ef8efa71ce05d96d33be415\models\model_normalized.obj,e120efa70ef8efa71ce05d96d33be415,C:\Users\Zachariah\Box\Automated Functional Basis Modeling\ShapeNetCore.v2\03636649\e120efa70ef8efa71ce05d96d33be415\models\lamp_3636649_e120efa70ef8efa71ce05d96d33be415_5000_2pc.xyz,Cloud Generated,
42906,4379243,table,C:\Users\Zachariah\Box\Automated Functional Basis Modeling\ShapeNetCore.v2\04379243\6b58fd8948d4d34851581925776a606b\models\model_normalized.obj,6b58fd8948d4d34851581925776a606b,C:\Users\Zachariah\Box\Automated Functional Basis Modeling\ShapeNetCore.v2\04379243\6b58fd8948d4d34851581925776a606b\models\table_4379243_6b58fd8948d4d34851581925776a606b_5000_2pc.xyz,Cloud Generated,
